brand,avg_price,min_price,max_price,price_std,product_count
0.01,59.0,59.0,59.0,0.0,2
80retros,149.0,129.0,169.0,28.284271247461902,2
8BitDo,120.66666666666667,69.0,149.0,29.268868558020255,6
ACGAM,105.66666666666667,56.0,179.0,34.327553836254516,15
ATTACK,78.33333333333333,67.0,89.0,11.015141094572206,3
AULA,66.95454545454545,35.0,99.0,17.346544249578862,22
Ace,89.0,89.0,89.0,,1
Aesco,169.0,169.0,169.0,,1
Aiglatson,399.0,399.0,399.0,,1
Ajazz,83.91836734693878,29.0,197.0,40.879312583248165,49
Akko,111.21052631578948,64.0,224.0,36.08412847063622,19
Alpaca,140.0,140.0,140.0,,1
Angel,266.0,266.0,266.0,,1
Anne,76.33333333333333,65.0,85.0,10.26320287889377,3
Apos,207.0,62.0,499.0,150.9228752897131,8
Azio,109.68181818181819,24.0,229.0,72.81704821552786,22
BAROCCOMISTEL,270.0,270.0,270.0,,1
BASIC,69.0,59.0,79.0,14.142135623730951,2
Backspace,149.0,149.0,149.0,,1
Bat,117.66666666666667,79.0,139.0,33.54598833442433,3
Binepad,55.75,45.0,69.0,9.912113800799505,4
Black,189.0,189.0,189.0,,1
CKW,189.0,189.0,189.0,,1
Cerakey,184.0,159.0,209.0,35.35533905932738,2
Cherry,165.0,125.0,205.0,56.568542494923804,2
Chilkey,107.81818181818181,79.0,169.0,24.74194083663681,11
Cidoo,92.47058823529412,49.0,145.0,36.00367628287913,17
ColorReco,108.0,108.0,108.0,,1
Coolkiller,170.11764705882354,69.0,539.0,105.10939679266382,17
Corsair,172.25,90.0,389.0,102.35896220095798,8
Createkeebs,185.25,169.0,199.0,12.499999999999996,4
DOIO,102.91666666666667,49.0,167.0,44.79946901741609,12
Dagk,102.83333333333333,69.0,149.0,29.020107971313042,6
Dareu,140.13333333333333,110.0,224.0,31.24526630814125,15
Daring,149.0,149.0,149.0,,1
Darmoshark,102.2,85.0,129.0,20.27806696901852,5
Deadline,139.0,139.0,139.0,,1
Dell,185.0,185.0,185.0,,1
Delux,69.0,69.0,69.0,,1
Denshi,153.38888888888889,64.0,207.0,39.24304192935712,18
Design,169.0,169.0,169.0,,1
Desktop,207.0,159.0,255.0,67.88225099390856,2
Double,125.66666666666667,99.0,159.0,30.550504633038933,3
DrunkDeer,138.0,98.0,199.0,31.342197327777345,7
Dskeyboard,349.0,349.0,349.0,,1
Ducky,120.8265306122449,64.0,299.0,39.11970144885448,98
Dukharo,88.0,45.0,115.0,31.347514521356658,4
Durgod,116.83333333333333,79.0,149.0,18.487506018602907,12
Dwarf,193.0,193.0,193.0,,1
Dygma,449.0,449.0,449.0,0.0,2
Endgame,99.0,99.0,99.0,,1
Epomaker,85.55737704918033,28.0,549.0,68.42185922402379,61
Ergodox,161.0,161.0,161.0,,1
Everglide,199.0,119.0,279.0,80.0,3
Evoworks,169.0,169.0,169.0,,1
Fancy,97.66666666666667,45.0,149.0,52.01281893277207,3
Fantech,85.33333333333333,59.0,109.0,25.106440076867397,3
Feker,121.5625,39.0,501.0,107.28837697222069,16
Fiio,99.0,99.0,99.0,,1
Filco,140.5909090909091,69.0,269.0,48.773196279561944,22
Firstblood,144.0,38.0,199.0,62.87818911726598,7
Fly,179.0,179.0,179.0,,1
