price,hall_effect,hotswap,backlight,screen,knob,category_encoded,brand_encoded,layout_encoded,mount_encoded,case_material_encoded,connectivity_encoded
59.0,0,0,1,0,0,0,0,2,3,0,1
59.0,0,0,1,0,0,0,0,2,3,0,1
169.0,0,1,0,0,0,2,1,3,1,0,1
129.0,0,1,0,0,0,2,1,18,1,0,0
119.0,0,1,0,0,1,1,2,9,5,0,2
139.0,0,1,0,0,0,1,2,0,5,0,2
139.0,0,1,1,0,1,1,2,9,7,1,2
149.0,0,1,0,0,1,1,2,9,5,0,2
109.0,0,1,0,0,1,1,2,9,5,0,2
68.0,0,0,0,0,0,2,3,7,7,1,2
78.0,0,0,0,0,0,2,3,0,7,1,2
99.0,0,0,1,0,0,2,3,7,7,0,2
137.0,0,0,1,0,0,2,3,15,7,1,2
75.0,0,1,0,0,0,2,3,3,1,1,2
125.0,0,1,1,0,0,2,3,3,7,1,2
99.0,0,1,1,0,0,2,3,3,1,1,1
56.0,0,1,1,0,0,2,3,18,7,1,1
99.0,0,1,1,0,0,2,3,2,7,1,1
109.0,0,1,1,0,0,2,3,15,1,0,2
99.0,0,1,1,0,0,2,3,17,1,0,2
57.0,0,1,1,0,1,1,4,7,1,1,2
79.0,0,1,1,0,1,1,4,3,1,1,2
95.0,0,1,1,0,1,1,4,7,1,1,2
63.0,0,1,1,0,0,1,4,9,1,1,2
70.0,0,1,1,0,1,1,4,15,1,1,2
99.0,0,1,1,0,0,1,4,7,1,0,2
197.0,0,1,1,0,0,2,5,3,1,0,1
149.0,0,1,1,0,0,2,5,3,1,0,2
159.0,0,1,1,0,0,2,5,7,1,0,1
52.0,0,1,1,0,0,2,5,3,7,1,2
54.0,0,0,1,0,0,2,5,9,7,1,2
34.0,0,1,1,0,0,2,5,3,6,1,1
119.0,0,1,1,0,1,2,5,7,1,1,2
149.0,0,1,1,0,1,2,5,7,1,0,2
39.0,0,1,1,0,1,2,5,7,1,1,1
39.0,0,1,0,0,1,2,5,7,1,0,1
59.0,0,1,0,0,1,2,5,7,7,1,2
29.0,0,1,1,0,0,2,5,9,0,1,1
59.0,0,1,0,0,0,2,5,9,7,1,2
79.0,0,1,1,0,0,2,5,9,4,0,2
139.0,0,1,1,0,1,2,5,15,1,0,2
65.0,0,1,1,0,1,2,5,15,1,1,2
59.0,0,1,1,0,1,2,5,15,1,0,2
