title,price,layout,mount,hall_effect,hotswap,case_material,backlight,connectivity,screen,knob
0.01 Z62,$59,"60%,",Plate Mount,no,no,"Alu case,",yes,"Wired,",no,no
0.01 Z62 Blank Blank,$59,"60%,",Plate Mount,no,no,"Alu case,",yes,"Wired,",no,no
80retros GB65 X Click Inc,$169,"65%,",Gasket Mount,no,yes,"Alu case,",no,"Wired,",no,no
80retros Pad Numpad X Click Inc,$129,n/a,Gasket Mount,no,yes,"Alu case,",no,n/a,no,no
8BitDo Retro,$119,"80%,",Top Mount,no,yes,"Alu case,",no,"Wireless,",no,yes
8BitDo Retro 108,$139,"100%,",Top Mount,no,yes,"Alu case,",no,"Wireless,",no,no
8BitDo Retro 18 Numpad,$69,n/a,Top Mount,no,yes,"Alu case,",no,"Wireless,",yes,no
8BitDo Retro 87 Xbox Edition,$139,"80%,",n/a,no,yes,n/a,yes,"Wireless,",no,yes
8BitDo Retro S Edition,$149,"80%,",Top Mount,no,yes,"Alu case,",no,"Wireless,",no,yes
8BitDo Retro87 C64,$109,"80%,",Top Mount,no,yes,"Alu case,",no,"Wireless,",no,yes
ACGAM ACTTO B303 Typewriter Retro Membrane,$68,"75%,",n/a,no,no,n/a,no,Wireless,no,no
ACGAM ACTTO B503 Typewriter Retro Membrane,$78,"100%,",n/a,no,no,n/a,no,Wireless,no,no
ACGAM ACTTO B703 Typewriter Retro,$99,"75%,",n/a,no,no,Alu case,yes,"Wireless,",no,no
ACGAM ACTTO B705 Typewriter Retro,$137,"96%,",n/a,no,no,n/a,yes,"Wireless,",no,no
ACGAM ATK68 V2,$179,"65%,",Tray Mount,yes,no,"Alu case,",no,"Wired,",no,no
ACGAM Alice ABM066,$75,"65%,",Gasket Mount,no,yes,n/a,no,"Wireless,",no,no
ACGAM C68 Kawaii Cat,$125,"65%,",n/a,no,yes,n/a,yes,"Wireless,",no,no
ACGAM DK65,$125,"65%,",Gasket Mount,no,no,"Alu case,",yes,"Wireless,",yes,yes
ACGAM FancyAlice66 Selfassembly,$99,"65%,",Gasket Mount,no,yes,n/a,yes,"Wired,",no,no
ACGAM LT84,$78,"80%,",Sandwich Mount,no,yes,n/a,yes,"Wireless,",yes,no
ACGAM MF34 Macro Macro Pad,$56,n/a,n/a,no,yes,n/a,yes,"Wired,",no,no
ACGAM Resin61,$99,"60%,",n/a,no,yes,n/a,yes,"Wired,",no,no
ACGAM S99,$109,"96%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
ACGAM V98 Pro V2,$99,"98%,",Gasket Mount,no,yes,"Alu case,",yes,"Wireless,",no,no
ACGAM VXE ATK68,$159,"65%,",n/a,yes,yes,Alu case,yes,"Wired,",no,no
