category,brand,title,price,layout,mount,hall_effect,hotswap,case_material,backlight,connectivity,screen,knob
budget,0.01,0.01 Z62,$59,60%,Plate Mount,no,no,Metal (likely Aluminium),yes,Wired,no,no
budget,0.01,0.01 Z62 Blank Blank,$59,60%,Plate Mount,no,no,Metal (likely Aluminium),yes,Wired,no,no
premium,80retros,80retros GB65 X Click Inc,$169,65%,Gasket Mount,no,yes,Metal (likely Aluminium),no,Wired,no,no
premium,80retros,80retros Pad Numpad X Click Inc,$129,Unknown,Gasket Mount,no,yes,Metal (likely Aluminium),no,Unknown,no,no
midrange,8BitDo,8BitDo Retro,$119,80%,Top Mount,no,yes,Metal (likely Aluminium),no,Wireless,no,yes
midrange,8BitDo,8BitDo Retro 108,$139,100%,Top Mount,no,yes,Metal (likely Aluminium),no,Wireless,no,no
midrange,8BitDo,8BitDo Retro 18 Numpad,$69,Unknown,Top Mount,no,yes,Metal (likely Aluminium),no,Wireless,yes,no
midrange,8BitDo,8BitDo Retro 87 Xbox Edition,$139,80%,Unknown,no,yes,Unspecified(likely ABS plastic),yes,Wireless,no,yes
midrange,8BitDo,8BitDo Retro S Edition,$149,80%,Top Mount,no,yes,Metal (likely Aluminium),no,Wireless,no,yes
midrange,8BitDo,8BitDo Retro87 C64,$109,80%,Top Mount,no,yes,Metal (likely Aluminium),no,Wireless,no,yes
premium,ACGAM,ACGAM ACTTO B303 Typewriter Retro Membrane,$68,75%,Unknown,no,no,Unspecified(likely ABS plastic),no,Wireless,no,no
premium,ACGAM,ACGAM ACTTO B503 Typewriter Retro Membrane,$78,100%,Unknown,no,no,Unspecified(likely ABS plastic),no,Wireless,no,no
premium,ACGAM,ACGAM ACTTO B703 Typewriter Retro,$99,75%,Unknown,no,no,Metal (likely Aluminium),yes,Wireless,no,no
premium,ACGAM,ACGAM ACTTO B705 Typewriter Retro,$137,96%,Unknown,no,no,Unspecified(likely ABS plastic),yes,Wireless,no,no
premium,ACGAM,ACGAM ATK68 V2,$179,65%,Tray Mount,yes,no,Metal (likely Aluminium),no,Wired,no,no
premium,ACGAM,ACGAM Alice ABM066,$75,65%,Gasket Mount,no,yes,Unspecified(likely ABS plastic),no,Wireless,no,no
premium,ACGAM,ACGAM C68 Kawaii Cat,$125,65%,Unknown,no,yes,Unspecified(likely ABS plastic),yes,Wireless,no,no
premium,ACGAM,ACGAM DK65,$125,65%,Gasket Mount,no,no,Metal (likely Aluminium),yes,Wireless,yes,yes
premium,ACGAM,ACGAM FancyAlice66 Selfassembly,$99,65%,Gasket Mount,no,yes,Unspecified(likely ABS plastic),yes,Wired,no,no
premium,ACGAM,ACGAM LT84,$78,80%,Sandwich Mount,no,yes,Unspecified(likely ABS plastic),yes,Wireless,yes,no
premium,ACGAM,ACGAM MF34 Macro Macro Pad,$56,Unknown,Unknown,no,yes,Unspecified(likely ABS plastic),yes,Wired,no,no
premium,ACGAM,ACGAM Resin61,$99,60%,Unknown,no,yes,Unspecified(likely ABS plastic),yes,Wired,no,no
premium,ACGAM,ACGAM S99,$109,96%,Gasket Mount,no,yes,Metal (likely Aluminium),yes,Wireless,no,no
premium,ACGAM,ACGAM V98 Pro V2,$99,98%,Gasket Mount,no,yes,Metal (likely Aluminium),yes,Wireless,no,no
